symbol,price,price_change,price_percent_change
AGL,5.36 +1.11 (+26.12%),1.11,26.12
TNXP,19.82 +2.02 (+11.35%),2.02,11.35
HUM,281.95 +27.24 (+10.69%),27.24,10.69
SMTOY,13.16 +0.87 (+7.08%),0.87,7.08
AVAV,121.03 +7.65 (+6.75%),7.65,6.75
ALHC,18.95 +1.13 (+6.34%),1.13,6.34
HCC,43.44 +2.57 (+6.29%),2.57,6.29
SAABY,19.61 +1.15 (+6.23%),1.15,6.23
BRPHF,9.24 +0.54 (+6.21%),0.54,6.21
CVS,67.63 +3.78 (+5.92%),3.78,5.92
RCRUY,9.80 +0.52 (+5.60%),0.52,5.6
UNH,553.08 +28.38 (+5.41%),28.38,5.41
OLYMY,11.94 +0.59 (+5.20%),0.59,5.2
DLICY,12.50 +0.61 (+5.13%),0.61,5.13
RYTM,57.73 +2.77 (+5.04%),2.77,5.04
CVNA,176.32 +8.45 (+5.03%),8.45,5.03
HTHIY,19.88 +0.94 (+4.96%),0.94,4.96
ARLP,25.86 +1.20 (+4.87%),1.2,4.87
LOAR,75.29 +3.44 (+4.79%),3.44,4.79
PDI,17.83 +0.81 (+4.76%),0.81,4.76
FNMAS,10.60 +0.45 (+4.43%),0.45,4.43
STRL,113.83 +4.73 (+4.34%),4.73,4.34
FINMY,22.38 +0.91 (+4.24%),0.91,4.24
NCLTY,10.44 +0.41 (+4.09%),0.41,4.09
LNSTY,34.80 +1.35 (+4.04%),1.35,4.04
VIK,35.51 +1.37 (+4.01%),1.37,4.01
BGC,7.80 +0.30 (+4.00%),0.3,4.0
XIACY,24.10 +0.85 (+3.66%),0.85,3.66
BWXT,93.17 +3.15 (+3.50%),3.15,3.5
MRCY,42.96 +1.44 (+3.47%),1.44,3.47
CMPGY,31.02 +1.02 (+3.40%),1.02,3.4
ZURVY,32.35 +1.03 (+3.29%),1.03,3.29
RBGLY,12.58 +0.40 (+3.28%),0.4,3.28
MHVIY,30.65 +0.95 (+3.20%),0.95,3.2
THLLY,51.70 +1.60 (+3.19%),1.6,3.19
OTLY,8.98 +0.27 (+3.10%),0.27,3.1
CYBR,315.29 +9.31 (+3.04%),9.31,3.04
